City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
New Norfolk,20,AU,1587079422,53,-42.78,147.06,52,21.92
Zeerust,0,ZA,1587079470,71,-25.54,26.08,50,6.93
Coquimbo,15,CL,1587079470,82,-29.95,-71.34,60.8,5.82
Mount Gambier,40,AU,1587079470,93,-37.83,140.77,55.4,13.87
George,83,ZA,1587079470,93,-33.96,22.46,55.4,3.36
Strezhevoy,74,RU,1587079470,95,60.73,77.59,32,4.47
Jiangkou,0,CN,1587079470,100,25.49,119.2,57.2,6.78
Ondjiva,2,AO,1587079471,41,-17.07,15.73,70.47,5.55
George Town,20,MY,1587079308,88,5.41,100.34,82.4,3.51
Labytnangi,100,RU,1587079471,98,66.66,66.42,29.19,13.44
Kikwit,100,CD,1587079471,78,-5.04,18.82,74.28,2.3
Najrān,2,SA,1587079471,60,17.49,44.13,73.4,4.7
Leer,12,SS,1587079471,12,8.3,30.14,83.84,4.07
Tres Arroyos,19,AR,1587079471,52,-38.37,-60.28,58.75,8.34
Lahaina,40,US,1587079471,51,20.88,-156.68,84.2,19.46
Bernardino de Campos,0,BR,1587079471,60,-23.01,-49.47,56.43,2.44
Saskylakh,0,RU,1587079472,90,71.92,114.08,-5.15,3.02
Ahipara,100,NZ,1587079384,85,-35.17,173.17,66.29,18.25
Laas,10,IT,1587079472,39,46.62,10.7,45,2.24
Eureka,1,US,1587079472,76,40.8,-124.16,66.99,4.7
Upernavik,100,GL,1587079472,89,72.79,-56.15,24.69,9.66
Berlevåg,97,NO,1587079472,83,70.86,29.09,36.37,17.07
St. George's,20,GD,1587079218,74,12.06,-61.75,82.4,17.22
Vila,40,PT,1587079472,93,42.03,-8.16,59,5.82
Shubarshi,100,KZ,1587079472,79,48.59,57.19,41.76,8.86
Teguise,20,ES,1587079473,72,29.06,-13.56,68,1.12
La Ronge,75,CA,1587079473,44,55.1,-105.28,39.2,11.41
Fukuechō,75,JP,1587079473,88,32.69,128.84,62.6,14.99
Mehamn,100,NO,1587079473,92,71.04,27.85,35.31,17.72
Nome,90,US,1587079473,100,64.5,-165.41,34,13.87
Husavik,20,IS,1587079473,65,66.04,-17.34,41,24.16
Umluj,25,SA,1587079473,38,25.02,37.27,75.56,3.4
Babanka,82,UA,1587079474,68,48.71,30.45,49.08,8.19
Tumpat,20,MY,1587079474,78,6.2,102.17,82.4,3.36
Rincon,20,US,1587079474,28,32.3,-81.24,71.6,6.93
Haines Junction,100,CA,1587079450,66,60.75,-137.51,43.09,2.01
Olinda,75,BR,1587079474,94,-8.01,-34.86,78.8,3.36
Maniitsoq,100,GL,1587079474,96,65.42,-52.9,27.95,21.52
Codrington,69,AU,1587079474,66,-38.27,141.97,59.74,19.66
Guider,3,CM,1587079474,12,9.93,13.95,83.77,8.34
Luziânia,75,BR,1587079474,94,-16.25,-47.95,69.8,6.93
Concarneau,89,FR,1587079475,76,47.88,-3.92,57,5.82
Jutaí,68,BR,1587079475,93,-5.18,-68.9,74.62,2.68
Bonnyville,75,CA,1587079475,45,54.27,-110.73,44.6,8.05
Port-Gentil,40,GA,1587079475,100,-0.72,8.78,80.6,2.24
Ouadda,63,CF,1587079475,17,8.08,22.4,67.6,2.33
Delījān,74,IR,1587079475,30,33.99,50.68,56.17,5.3
Rudnogorsk,100,RU,1587079475,73,57.26,103.75,37.58,6.44
Yumen,100,CN,1587079451,22,40.28,97.2,50,16.89
Puerto del Rosario,19,ES,1587079344,72,28.5,-13.86,68,5.82
Mpwapwa,100,TZ,1587079476,69,-6.35,36.48,67.3,4.05
Lavrentiya,100,RU,1587079476,97,65.58,-171,30.76,9.17
Kindu,93,CD,1587079476,82,-2.95,25.95,72.9,2.95
Marrakesh,20,MA,1587079298,67,31.63,-8.01,60.8,4.7
Lorengau,99,PG,1587079476,77,-2.02,147.27,82.04,6.6
Chimbote,18,PE,1587079476,75,-9.09,-78.58,72.55,7.58
Faanui,15,PF,1587079476,66,-16.48,-151.75,83.26,9.71
Xichang,37,CN,1587079477,39,27.9,102.26,62.87,0.76
Kruisfontein,12,ZA,1587079477,64,-34,24.73,55.72,4
Shimokizukuri,20,JP,1587079477,52,40.81,140.39,51.01,2.24
Ōkawa,98,JP,1587079477,82,33.2,130.35,59,4.7
Rehoboth,35,NA,1587079477,18,-23.32,17.08,59.34,2.3
Abnūb,38,EG,1587079477,55,27.27,31.15,66.2,20.8
Broadstairs,0,GB,1587079477,81,51.36,1.44,51.01,8.05
Bückeburg,34,DE,1587079477,65,52.26,9.05,46.99,4.7
Tautira,8,PF,1587079477,66,-17.73,-149.15,87.8,10.29
Talnakh,34,RU,1587079478,73,69.49,88.4,21.2,15.66
Sühbaatar,5,MN,1587079478,37,50.23,106.21,46.83,0.22
Korla,100,CN,1587079478,43,41.76,86.15,58.39,9.95
Pochutla,20,MX,1587079478,62,15.74,-96.47,88,9.17
Provideniya,90,RU,1587079478,97,64.38,-173.3,32,13.42
Makkah al Mukarramah,0,SA,1587079478,43,21.43,39.83,68.16,1.77
Kavieng,100,PG,1587079478,92,-2.57,150.8,77.56,20.78
Kurchanskaya,33,RU,1587079478,76,45.22,37.59,48.2,20.13
Daru,95,PG,1587079478,82,-9.08,143.21,81.14,5.99
Olafsvik,99,IS,1587079479,94,64.89,-23.71,42.49,18.32
Bandarbeyla,13,SO,1587079479,75,9.49,50.81,81.57,6.06
Amursk,0,RU,1587079479,48,50.23,136.9,48.49,8.86
Huarmey,42,PE,1587079479,70,-10.07,-78.15,74.66,7.94
Flinders,3,AU,1587079479,55,-34.58,150.86,70,12.75
Lima,28,PE,1587079290,61,-12.04,-77.03,78.8,10.29
Alofi,100,NU,1587079479,73,-19.06,-169.92,80.1,14.07
Tarauacá,98,BR,1587079479,90,-8.16,-70.77,71.51,2.06
Bayir,0,TR,1587079479,87,37.27,28.22,51.8,4.7
Mosonmagyaróvár,100,HU,1587079480,66,47.87,17.27,54,1.12
Province of Brindisi,35,IT,1587079480,93,40.58,17.67,54,2.24
Lyubashivka,87,UA,1587079480,60,47.84,30.26,51.82,11.12
Port Hardy,20,CA,1587079480,58,50.7,-127.42,57.2,6.93
Macaé,90,BR,1587079460,94,-22.37,-41.79,75.2,4.7
Pitimbu,75,BR,1587079480,100,-7.47,-34.81,77,2.24
Bud,40,US,1587079467,48,39.45,-86.18,48.2,5.82
New Richmond,40,US,1587079480,24,45.12,-92.54,46.4,14.99
Santa Marta,21,CO,1587079339,73,11.24,-74.2,80.78,16.71
Koutsouras,2,GR,1587079481,62,35.03,25.95,57,18.99
Dunedin,100,NZ,1587079481,81,-45.87,170.5,48.99,11.36
Dondo,40,MZ,1587079481,88,-19.61,34.74,80.6,6.93
Pavlodar,3,KZ,1587079481,58,52.3,76.95,35.6,4.47
Pacifica,75,US,1587079481,67,37.61,-122.49,72,11.41
Liuhe,100,CN,1587079481,68,42.24,125.72,48.16,4.45
Tuatapere,98,NZ,1587079482,95,-46.13,167.68,46,7
East London,0,ZA,1587079446,67,-33.02,27.91,63.12,4.65
Mossamedes,0,AO,1587079469,61,-15.2,12.15,75.2,5.41
Udarnyy,100,RU,1587079482,87,54.34,42.86,38.93,12.33
Terme,20,TR,1587079482,93,41.21,36.97,35.6,3.36
Kaitangata,100,NZ,1587079482,82,-46.28,169.85,48.99,5.01
Maceió,75,BR,1587079342,94,-9.67,-35.74,75.2,10.29
Deep River,75,CA,1587079482,40,46.1,-77.5,37.4,9.17
Cap Malheureux,40,MU,1587079482,73,-19.98,57.61,77,11.41
La Libertad,24,EC,1587079483,78,-2.23,-80.9,80.6,11.41
Havøysund,100,NO,1587079325,69,71,24.66,35.6,24.16
Merrill,90,US,1587079483,40,45.18,-89.68,37.99,8.05
Mersing,77,MY,1587079483,94,2.43,103.84,75.2,4.7
Yenagoa,95,NG,1587079483,92,4.92,6.26,79.83,5.41
Dikson,0,RU,1587079483,86,73.51,80.55,-1.68,9.62
Del Rio,1,US,1587079483,44,29.36,-100.9,77,16.11
Gonder,19,ET,1587079483,16,12.6,37.47,63.73,5.12
Andreapol',97,RU,1587079484,87,56.65,32.27,33.44,11.65
Qaqortoq,100,GL,1587079484,93,60.72,-46.03,32,1.12
Takayama,40,JP,1587079484,70,36.13,137.25,59,3.36
Neryungri,96,RU,1587079484,86,56.67,124.65,21.63,9.6
Alice Springs,66,AU,1587079484,56,-23.7,133.88,68,5.82
Mataram,40,ID,1587079484,100,-8.58,116.12,77,4.94
Bada,0,RU,1587079484,39,51.39,109.87,44.11,2.68
Manaquiri,75,BR,1587079484,100,-3.32,-60.35,77,6.93
Santa Rosa,40,PH,1587079276,70,14.31,121.11,84.99,6.93
Nioro,33,GM,1587079485,35,13.35,-15.75,79.88,4.09
Andra,100,RU,1587079485,94,62.51,65.89,41.11,12.77
Tezu,100,IN,1587079485,68,27.92,96.17,69.85,2.51
Guangyuan,91,CN,1587079485,51,32.44,105.82,54,6.49
Boca do Acre,39,BR,1587079191,86,-8.75,-67.4,74.19,3.06
Padang,98,ID,1587079485,78,-0.95,100.35,77.77,2.51
Valparaíso,26,CL,1587079315,63,-33.04,-71.63,62.6,4.7
Broome,90,US,1587079486,86,42.25,-75.83,36,12.75
Grand-Santi,99,GF,1587079486,88,4.25,-54.38,75.31,3.51
Mayumba,100,GA,1587079486,81,-3.43,10.66,79.16,2.66
Tabas,5,IR,1587079486,55,33.6,56.92,64.4,4.7
Belaya Gora,100,RU,1587079486,92,68.53,146.42,1.08,8.84
Baker City,1,US,1587079486,19,44.77,-117.83,57.2,17.22
Kirksville,90,US,1587079486,90,40.19,-92.58,33.8,11.41
City of San Pedro,40,PH,1587079486,70,14.35,121.02,84.99,6.93
Arman',100,RU,1587079479,96,59.7,150.17,25.88,10.11
Aklavik,90,CA,1587079487,86,68.22,-135.01,33.8,17.22
Jefferson City,90,US,1587079385,33,38.58,-92.17,66.99,10.29
Boende,60,CD,1587079402,83,-0.22,20.87,73.96,1.16
Santa Ana,20,US,1587079429,56,33.75,-117.87,77,17.22
Rāzole,0,IN,1587079487,87,16.48,81.83,79.11,4.97
Mantenópolis,71,BR,1587079487,83,-18.86,-41.12,70.75,5.19
Mumford,15,GH,1587079487,85,5.26,-0.76,82.26,12.19
Ambatondrazaka,55,MG,1587079488,69,-17.83,48.42,64.09,7.05
Mahébourg,40,MU,1587079488,73,-20.41,57.7,77,11.41
Sangar,63,RU,1587079488,76,63.92,127.47,12.07,1.95
Boyolangu,69,ID,1587079488,81,-8.12,111.89,79.79,3.2
Coyhaique,90,CL,1587079434,93,-45.58,-72.07,59,5.82
Juneau,90,US,1587079191,93,58.3,-134.42,44.6,5.82
Gouré,35,NE,1587079488,13,13.98,10.27,78.12,8.9
Caconda,0,AO,1587079488,58,-13.73,15.07,59.68,1.36
Havelock,1,US,1587079488,25,34.88,-76.9,66.2,9.17
Nalobikha,2,RU,1587079488,84,53.2,84.6,38.39,3.56
Nekā,90,IR,1587079489,82,36.65,53.3,57.2,13.87
Villarrobledo,86,ES,1587079489,91,39.27,-2.6,53.01,5.99
Bubaque,49,GW,1587079489,69,11.28,-15.83,79.47,14.2
Arinos,69,BR,1587079489,77,-15.92,-46.11,70.18,3.33
Hambantota,16,LK,1587079489,82,6.12,81.12,79.86,3.85
Catalina,1,US,1587079489,4,32.51,-110.92,86,16.11
Margate,0,GB,1587079490,81,51.38,1.39,51.01,8.05
Vao,22,NC,1587079456,63,-22.67,167.48,74.79,9.84
Faxinal,0,BR,1587079490,50,-24,-51.32,52.84,0.67
Putyatino,85,RU,1587079490,79,54.16,41.12,38.43,13.82
Atambua,7,ID,1587079490,74,-9.11,124.89,79.07,1.3
Amahai,100,ID,1587079490,72,-3.33,128.92,83.23,4.07
Sirte,3,LY,1587079490,75,31.21,16.59,60.44,11.16
